mantle.ledger.account.GlAccount,seed
glAccountId,accountName,glAccountClassEnumId
1001,库存现金,CASH_EQUIVALENT
1002,银行存款,CASH_EQUIVALENT
1003,存放中央银行款项,CASH_EQUIVALENT
1011,存放同业,CASH_EQUIVALENT
1012,其他货币资金,CASH_EQUIVALENT
1021,结算备付金,CASH_EQUIVALENT
1031,存出保证金,CASH_EQUIVALENT
1101,交易性金融资产,CASH_EQUIVALENT
1111,买入返售金融资产,CASH_EQUIVALENT
1121,应收票据,CURRENT_ASSET
1122,应收账款,CURRENT_ASSET
1123,预付账款,CURRENT_ASSET
1124,应收账款(PoS),CURRENT_ASSET
1131,应收股利,CURRENT_ASSET
1132,应收利息,CURRENT_ASSET
1201,应收代位追偿款,CASH_EQUIVALENT
1211,应收分保账款,CASH_EQUIVALENT
1212,应收分保合同准备金,CASH_EQUIVALENT
1221,其他应收款,CASH_EQUIVALENT
1231,坏账准备,CASH_EQUIVALENT
1301,贴现资产,CASH_EQUIVALENT
1302,拆出资金,CASH_EQUIVALENT
1303,贷款,CASH_EQUIVALENT
1304,贷款损失准备,CASH_EQUIVALENT
1311,代理兑付证券,CASH_EQUIVALENT
1321,代理业务资产,CASH_EQUIVALENT
1401,材料采购,CASH_EQUIVALENT
1402,在途物资,CASH_EQUIVALENT
1403,原材料,CASH_EQUIVALENT
1404,材料成本差异,CASH_EQUIVALENT
1405,库存商品,CASH_EQUIVALENT
1406,发出商品,CASH_EQUIVALENT
1407,商品进销差价,CASH_EQUIVALENT
1408,委托加工物资,CASH_EQUIVALENT
1411,周转材料,LONG_TERM_ASSET
1421,消耗性生物资产,LONG_TERM_ASSET
1431,贵金属,LONG_TERM_ASSET
1441,抵债资产,LONG_TERM_ASSET
1451,损余物资,LONG_TERM_ASSET
1461,融资租赁资产,LONG_TERM_ASSET
1471,存货跌价准备,LONG_TERM_ASSET
1501,持有至到期投资,LONG_TERM_ASSET
1502,持有至到期投资减值准备,LONG_TERM_ASSET
1503,可供出售金融资产,LONG_TERM_ASSET
1511,长期股权投资,LONG_TERM_ASSET
1512,长期股权投资减值准备,LONG_TERM_ASSET
1521,投资性房地产,LONG_TERM_ASSET
1531,长期应收款,LONG_TERM_ASSET
1532,未实现融资收益,LONG_TERM_ASSET
1541,存出资本保证金,LONG_TERM_ASSET
1601,固定资产,LONG_TERM_ASSET
1602,累计折旧,LONG_TERM_ASSET
1603,固定资产减值准备,LONG_TERM_ASSET
1604,在建工程,LONG_TERM_ASSET
1605,工程物资,LONG_TERM_ASSET
1606,固定资产清理,LONG_TERM_ASSET
1611,未担保余值,CASH_EQUIVALENT
1621,生产性生物资产,CASH_EQUIVALENT
1622,生产性生物资产累计折旧,CASH_EQUIVALENT
1623,公益性生物资产,CASH_EQUIVALENT
1631,油气资产,CASH_EQUIVALENT
1632,累计折耗,CASH_EQUIVALENT
1701,无形资产,CASH_EQUIVALENT
1702,累计摊销,CASH_EQUIVALENT
1703,无形资产减值准备,CASH_EQUIVALENT
1711,商誉,CASH_EQUIVALENT
1801,长期待摊费用,CASH_EQUIVALENT
1811,递延所得税资产,CASH_EQUIVALENT
1821,独立账户资产,CASH_EQUIVALENT
1901,待处理财产损溢,CASH_EQUIVALENT
2001,短期借款,THIRD_PARTY_HOLDINGS
2002,存入保证金,THIRD_PARTY_HOLDINGS
2003,拆入资金,THIRD_PARTY_HOLDINGS
2004,向中央银行借款,THIRD_PARTY_HOLDINGS
2011,吸收存款,THIRD_PARTY_HOLDINGS
2012,同业存放,THIRD_PARTY_HOLDINGS
2021,贴现负债,THIRD_PARTY_HOLDINGS
2101,交易性金融负债,THIRD_PARTY_HOLDINGS
